name	x	y	z	material
Fp1	-0.030902595782959074	0.1145851808674079	0.027866574329093563	EEG
Fp2	0.028409487887091203	0.11534630809630636	0.02772125772253031	EEG
Fpz	-0.0013373370098660072	0.11910179606232231	0.03288990364077295	EEG
F7	-0.07187663250970616	0.07310353217275958	0.02579045587891774	EEG
F3	-0.05180904586237076	0.0866879023191724	0.07871409302883829	EEG
Fz	-0.0012292786120998045	0.09327445212894306	0.10263929347682083	EEG
F4	0.05027427028109521	0.087438385860065	0.07727065434234637	EEG
F8	0.07143526180097565	0.07450512184827826	0.025101027393181548	EEG
FC5	-0.07890598380592659	0.051367389393278916	0.06296234793922344	EEG
FC1	-0.03571586782937188	0.06171406221864098	0.11798301537735789	EEG
FC2	0.03313097492028421	0.06182848393513826	0.11678169813445863	EEG
FC6	0.07784661183611408	0.05209880614588322	0.062867106289257	EEG
M1	-0.08801182274741548	-0.017366414946511245	-0.025732015697949244	EEG
T7	-0.08598208540859081	0.014871643830998479	0.03117337373904913	EEG
C3	-0.06714873038365092	0.023358234962598565	0.10451068106025274	EEG
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	EEG
C4	0.06532887326785189	0.02357310071942504	0.10369243420048097	EEG
T8	0.08326136240706139	0.015258183861365685	0.030972968524064372	EEG
M2	0.08385701265316094	-0.01799998210530621	-0.025775935836393836	EEG
CP5	-0.0815135185591705	-0.013345688457798027	0.07313262712367748	EEG
CP1	-0.03742513286802655	-0.010824235244308918	0.13344371157184573	EEG
CP2	0.0364719521247076	-0.010903793865136614	0.13281227263122153	EEG
CP6	0.08140110027360135	-0.01346204793715924	0.07336367003861735	EEG
P7	-0.07445797197401204	-0.0421231600703902	0.041273631387385656	EEG
P3	-0.05503823925315043	-0.04421030104524479	0.09990897692201317	EEG
Pz	-0.0017094524972804195	-0.04521299319629392	0.12667292418210063	EEG
P4	0.053636008012841616	-0.044334525348021875	0.10051602773215543	EEG
P8	0.07103246343848865	-0.04225998064272267	0.04119886278195534	EEG
POz	-0.0018998318804281135	-0.06805409903094144	0.0959099993612478	EEG
O1	-0.0315735653251896	-0.08056835005318111	0.054789645624052044	EEG
Oz	-0.002060253553524364	-0.08278299035919615	0.06073663060774018	EEG
O2	0.027683093109090593	-0.08048884161275736	0.05473408147779854	EEG
AF7	-0.056360665806585115	0.09915152107495624	0.02514128951509998	EEG
AF3	-0.03518601491807185	0.10912956744877292	0.056439214711789275	EEG
AF4	0.034229850722724775	0.10981126989940736	0.057116674323529265	EEG
AF8	0.05422545454424309	0.09983161680439716	0.02491507170177891	EEG
F5	-0.06605409092054944	0.08023978357581142	0.0537710792746328	EEG
F1	-0.029043954610346055	0.09144847919912263	0.09661865029442487	EEG
F2	0.027967905749604307	0.09186996396743785	0.09577991837531719	EEG
F6	0.0663313342381619	0.0815289626974268	0.053116279380060916	EEG
FC3	-0.06185234453174111	0.057133289447271314	0.09376582882952603	EEG
FCz	-0.0012714337533993952	0.06345979225353343	0.12657198384237547	EEG
FC4	0.060625474352247244	0.05770741653090674	0.09379461804488445	EEG
C5	-0.08208530618179086	0.019293632972432445	0.0694896677281912	EEG
C1	-0.037937831285299435	0.026337454328592032	0.12977060888830635	EEG
C2	0.035892709469692044	0.026358135962367156	0.12841234097161527	EEG
C6	0.08165316193008805	0.01969565410623155	0.06948180710557077	EEG
CP3	-0.06547224097149225	-0.011896599111525148	0.10777792004227077	EEG
CPz	-0.0015249123600369623	-0.010518376261361682	0.1415491439763013	EEG
CP4	0.0646962476012671	-0.011991179362648905	0.10771287092399104	EEG
P5	-0.06929984778304407	-0.043226969304827736	0.07225380245654861	EEG
P1	-0.030653624162682504	-0.04492738508964679	0.11947204537971742	EEG
P2	0.029886386222411618	-0.04503254404940618	0.12074781507025559	EEG
P6	0.06586061191164945	-0.0433385196931155	0.07194130862688547	EEG
PO5	-0.050535308405402234	-0.06669108559773834	0.06678691497493633	EEG
PO3	-0.038624608976388995	-0.06736158053162712	0.08241555265208678	EEG
